ts,symbol,outcome,strategy,effective_anchor_ts,current_session_date,stage_events_json
2026-03-22T21:40:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:41:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:42:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:43:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:44:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:45:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:46:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:47:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:48:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
2026-03-22T21:49:00-04:00,MGC,accepted_signal,strat_gold_signal,2026-03-22T08:00:00-04:00,2026-03-22,"[{""reason"": ""market_session_updated"", ""stage"": ""market_session_state_update"", ""status"": ""passed""}, {""reason"": ""anchored_session_selected"", ""stage"": ""anchored_session_selection"", ""status"": ""passed""}, {""reason"": ""indicators_updated"", ""stage"": ""indicator_update"", ""status"": ""passed""}, {""reason"": ""liquidity_news_gate_passed"", ""stage"": ""liquidity_news_gating"", ""status"": ""passed""}, {""reason"": ""instrument_signal_approved"", ""stage"": ""instrument_signal_evaluation"", ""status"": ""passed""}, {""reason"": ""hard_risk_cap_passed"", ""stage"": ""hard_risk_cap_sizing"", ""status"": ""passed""}, {""reason"": ""daily_halt_check_passed"", ""stage"": ""daily_halt_check"", ""status"": ""passed""}, {""reason"": ""accepted_signal"", ""stage"": ""final_signal_output"", ""status"": ""passed""}]"
