ts,instrument,strategy,setup,strategy_path,direction,session,trading_date,hour_bucket,actionable_signal_id,setup_fingerprint,deduped_from_prior_raw_eligibility,prior_matching_raw_eligibility_count,deduped_from_raw_eligibility_cluster,raw_eligibility_count,suppressed_raw_eligibility_count,stage_outcome_summary
2026-03-22T21:40:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,sell,extended,2026-03-22,21:00,1,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-22"", ""setup"": ""primary_mean_reversion"", ""side"": ""sell"", ""strategy"": ""strat_gold_signal""}",False,0,True,39,38,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-22T22:32:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,22:00,20,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-22"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",False,0,True,32,31,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-22T23:17:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,23:00,29,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-22"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",True,32,True,5,4,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-22T23:31:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,23:00,35,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-22"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",True,37,True,2,1,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-23T00:00:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,00:00,36,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-23"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",False,0,True,44,43,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-23T00:59:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,00:00,41,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-23"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",True,44,True,20,19,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-23T03:50:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,03:00,49,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-23"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",True,64,True,17,16,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-23T04:16:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,04:00,54,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-23"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",True,81,True,16,15,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-23T04:38:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,04:00,55,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-23"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",True,97,True,3,2,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-23T04:49:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,buy,extended,2026-03-22,04:00,57,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-23"", ""setup"": ""primary_mean_reversion"", ""side"": ""buy"", ""strategy"": ""strat_gold_signal""}",True,100,True,10,9,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
2026-03-23T05:14:00-04:00,GOLD,strat_gold_signal,primary_mean_reversion,strat_gold_signal/primary_mean_reversion,sell,extended,2026-03-22,05:00,59,"{""anchor_ts"": ""2026-03-22T08:00:00-04:00"", ""instrument"": ""GOLD"", ""mean_reversion_leg"": ""anchored_vwap_reversion"", ""session_date"": ""2026-03-23"", ""setup"": ""primary_mean_reversion"", ""side"": ""sell"", ""strategy"": ""strat_gold_signal""}",False,0,True,20,19,market_session_state_update=passed:market_session_updated | anchored_session_selection=passed:anchored_session_selected | indicator_update=passed:indicators_updated | liquidity_news_gating=passed:liquidity_news_gate_passed | instrument_signal_evaluation=passed:instrument_signal_approved | hard_risk_cap_sizing=passed:hard_risk_cap_passed | daily_halt_check=passed:daily_halt_check_passed | final_signal_output=passed:accepted_signal
